This file was created by CMPT_IND_RETS using the 201712 CRSP database.,,,,,,,,,,
It contains value- and equal-weighted returns for 10 industry portfolios.,,,,,,,,,,
,,,,,,,,,,
The portfolios are constructed at the end of June.,,,,,,,,,,
,,,,,,,,,,
The annual returns are from January to December.,,,,,,,,,,
,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,,,,,
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
198704,-3.66,4.08,-1.38,0.17,4.39,-2.42,-2.85,-2.46,-4.33,-4.1
198705,2.57,-1.41,0.5,3.05,0.29,3.33,-0.11,1.23,-1.85,-0.02
198706,6.82,2.98,5.09,5.72,0.01,7.04,6.51,4.76,3.39,4.62
198707,5.68,6.96,7.2,3.28,1.03,6.01,5.9,5.75,-1.68,3.61
198708,3.73,5.68,2.7,1.78,7.4,5.1,3.32,2.2,3.71,4.33
198709,-2.75,-3.98,0.35,-3.86,-2.71,2.99,-6.34,-2.55,-2.31,-1.79
198710,-21.03,-26.93,-27.33,-18.33,-25.93,-12.35,-28.23,-20.46,-6.94,-23.6
198711,-8.02,-8.52,-5.16,-10.59,-9.8,-8.92,-8.48,-9.31,-2.53,-6.6
198712,7.52,8.61,10.84,6.63,11.86,4.27,8.55,5.34,0.57,5.43
198801,3.02,4.48,0.39,8.68,-2.44,9.76,5.63,6.37,9.76,6.4
198802,6.01,6.27,7.52,3.53,7.47,1.32,10.52,4.2,-1.43,4.31
198803,-1.52,-4.17,-1.17,2.47,-4.65,-3.82,-0.99,-2.55,-3.17,-1.33
198804,-0.07,2.9,1.63,4.54,2.59,0.67,1.74,-1.99,-0.29,-0.38
198805,-0.3,1.23,-0.31,-0.52,-1.31,2.17,-1.36,-0.26,3.59,0.96
198806,3.41,8.26,7.43,-2.05,9.4,3.01,6.68,2.68,3.23,6.03
198807,1.62,-0.82,-2.35,3.5,-5.1,0.02,-0.8,0.49,-0.26,-0.52
198808,-0.22,-6.68,-4.42,-1.5,-8.19,-3.05,-2.56,-1.08,-0.13,-0.91
198809,6.49,3.9,3.43,-2.41,2.84,7.36,8.06,3.86,2.71,4.14
198810,8.16,3.33,0.69,1.82,0,2.8,1.7,1.22,2.53,0.01
198811,-1.14,-0.94,-2.15,-0.31,-3.15,0.34,-2.83,-2.16,-0.46,-2.13
198812,3.51,0.26,3.12,1.83,4.89,1.62,1.48,1.83,1.02,0.91
198901,5.64,7.6,7.52,6.32,7.09,8.96,6.36,6.8,2.76,6.88
198902,-1.4,-2.99,-2.09,-1.31,-3.76,-1.22,-1.8,-1.15,-1.82,-0.38
198903,5.43,-1.41,1.2,3.82,-5.49,5.56,2.88,4.96,0.57,3.41
198904,5.73,0.47,5.33,2.61,5.19,9.63,5.53,5.41,3.9,4.64
198905,5.37,2.3,3.64,2.82,2.46,5.79,5.27,3.43,5.34,4.2
198906,1.48,1.28,-2.68,-0.96,-3.26,-0.03,-2.06,-2.74,3.4,0.93
198907,11.98,5.12,7.63,3.76,2.95,8.57,9.14,13.89,5.8,8.14
198908,-1.99,5.43,4.43,3.36,2.53,1.02,2.7,0.37,-0.8,3.41
198909,-0.54,-4.6,-2.53,1.41,-2.71,3.81,-2.23,2.38,0.48,1.42
198910,-2.49,-5.7,-4.36,0.46,-4.42,-2.04,-4.11,0.39,1.01,-4.85
198911,1.68,-1.18,3.06,3.93,-1.8,1.99,1.36,4.53,3.23,-0.02
198912,1.36,-1.45,2.99,5.86,-1.09,5.73,1.24,1.05,4.79,-1.5
199001,-9.43,-3.84,-6.29,-4.14,-1.28,-13.4,-6.24,-7.37,-5.35,-8.83
199002,-0.39,5.13,2.55,3.03,4.11,-0.34,1.92,-2.06,0.22,2.54
199003,4.54,2.9,3.91,-0.48,4.46,4.18,5.3,3.86,-0.75,-0.31
199004,-0.27,-4.04,-2.74,-3.59,-2,-3.46,-1.91,0.29,-5.51,-3.47
199005,9.04,7.76,8.08,5.95,12.54,9.39,11.7,12.76,5.42,9.05
199006,2.03,-2.25,-0.6,-2.08,-1.17,-4.71,1.62,4.44,0.75,-1.56
199007,-0.81,-3.48,0.22,8.23,-7.43,-4.59,-4.01,2.59,0.88,-3.46
199008,-7.36,-14.27,-12.07,-1.2,-12.04,-10.72,-12.17,-6.82,-6.63,-11.41
199009,-4.11,-10.58,-8.04,-1.59,-6.66,1.29,-8.42,-4.35,0.48,-9.98
199010,2.45,-3.22,-1.82,-4.2,-3.5,2.8,-3.07,1.43,7.23,-6.36
199011,6.55,4.11,7.4,1.63,11.19,3.1,10.37,9.45,2.3,10.64
199012,4.41,-0.44,4.89,-2.17,4.18,1.75,3.39,2.75,0.8,5.45
199101,5.15,7.29,6.44,-2.01,14.96,0.18,9.41,4.53,-1.37,7.48
199102,10.29,10.24,5.96,8.39,6.41,3.41,8.04,9.85,4.83,9.7
199103,4.78,1.16,1.36,1.28,0.75,2.34,8.61,5.43,1.71,3.06
199104,-0.96,-2.35,0.39,2.53,-2.89,1.12,1.96,-1.12,-0.03,1.3
199105,3.59,14.72,7.38,-1.39,3.61,-1.45,7.53,4.61,0.16,4.99
199106,-4.95,-4.46,-4.21,-3.7,-8.82,-1.9,-4.18,-4.16,-2.37,-5.21
199107,5.67,-0.41,3.17,5.02,4.63,3.2,5.4,8.44,3.99,4.69
199108,5.4,-2.14,1.96,1.75,2.81,0.84,3.67,2.86,3.53,3.1
199109,-3.25,-2.68,-2.29,-0.7,-1.3,0.54,-3.25,-0.4,3.73,-0.56
199110,-0.6,-1.99,1.52,2.03,1.99,2.11,-1.96,6.64,1.23,2.33
199111,-0.52,-7.97,-5.45,-7.67,-4.37,-4.92,-1.21,-2.55,1.89,-5.37
199112,14.63,7.64,11.51,1.94,9.13,9.83,13,16.47,5.01,12.6
199201,-3.05,10.49,2.2,-4.15,6.63,-2.62,0.33,-5.55,-4.58,2.11
199202,1.1,12.28,2.04,-0.52,3.86,-1.21,2.6,-2.59,-1.23,3.15
199203,-1.56,0.79,-1.25,-2.78,-5.17,-0.98,-1.33,-5.46,-0.53,-2.15
199204,0.74,7.9,2.99,9.47,-1.02,6.85,-3.48,-2.15,2.68,0.52
199205,1.38,-1.92,-0.55,3.2,0.03,-1.7,0.18,1.08,2.54,1.53
199206,-2.88,2.16,-3.3,-3.48,-4.09,1.24,-1.9,-4.68,0.54,-0.01
199207,4.67,0.43,3.02,5.35,2.98,5.37,3.84,5.72,6.69,3.2
199208,0.85,-9.46,-3.53,2.57,-4.55,-1.05,-0.55,-3.31,-0.49,-3.41
199209,1.1,0.29,1.81,0.14,3.36,1.81,4.04,-4.9,0.82,3.46
199210,-0.85,0.06,0.82,-3.46,2.12,-0.53,4.32,3.32,-0.42,2.96
199211,3.65,8.64,3.96,-2.64,6.35,4.29,7.19,4.87,-0.24,6.02
199212,0.08,3.37,1.48,1.92,0,5.57,0.61,-1.4,2.7,3.83
199301,-0.78,9.48,-0.04,2.75,4.84,1.16,0.03,-6.77,2.45,3.28
199302,-2.05,-0.28,1.65,6.01,-0.35,5.72,-1.52,-8.94,6.21,0.42
199303,0.01,5.45,2.25,4.1,2.21,3.26,2.77,0.81,1.77,3.9
199304,-9.24,2.31,-0.09,1.18,-3.68,-2.87,-8.14,1.31,-0.15,-3.22
199305,2.67,1.08,2.38,1.74,8.78,4.23,5.87,3.61,-0.06,1.71
199306,-0.75,3.31,-0.21,-1.12,-0.43,4.64,-2.89,-2.93,3.18,2.21
199307,-2.36,1.68,-0.02,0.48,-3.89,2.15,0.65,-5.99,1.95,2.06
199308,4.28,0.5,3.43,4.22,6.41,5.47,3.97,3.06,3.67,3.46
199309,-1.79,0.82,-1.96,1.44,1.33,-0.48,-0.32,0.92,-0.63,1.69
199310,6.09,7.51,3.17,-1.87,1.6,2.59,4.61,6,-1.96,-2.28
199311,0.67,0.84,1.18,-5.89,0.01,-6.04,0.67,1.11,-5.51,-2.8
199312,1.46,4.51,3.73,0.53,2.98,-0.44,-2.09,2.49,1.61,2.61
199401,-0.44,6.96,4.82,4.86,4.72,2.01,0.63,1.92,-1.22,4.42
199402,-1.28,-4.36,-0.61,-2.97,1.66,-5.53,1.98,-5.55,-4.95,-3.9
199403,-4.05,-6.42,-4.39,-3.63,-3.89,-3.74,-4.61,-6.72,-3.93,-4.3
199404,1.22,-0.45,0.09,4.13,-1.6,1.42,0.25,2.4,2.11,1.25
199405,-1.33,-2.77,2.09,0.89,2.09,1.66,-1.91,4.37,-5.35,3
199406,-1.83,-3.43,-2.57,-2.68,-5.23,0.71,-2.62,-3.69,-3.13,-2.64
199407,2.94,3.7,4.55,3.3,3.87,3.2,0.81,1.04,5.16,2.65
199408,6.05,-0.23,4.75,-0.06,9.27,1.16,4.58,10.71,0.66,3.47
199409,-0.32,-5.06,-1.65,-2.08,-0.49,-1.1,-2.34,1.73,-2.78,-4.23
199410,2.16,-1.46,0.59,7.37,7.23,-0.09,1.22,0.88,1.56,0.15
199411,-1.66,-5.07,-5.45,-4.84,-2.14,-5.45,-3.39,0.43,0.26,-5.18
199412,1.32,3.83,4.07,-0.99,2.5,0.9,-2.86,0.52,0.35,1.47
199501,1.84,-5.84,-0.39,0.37,-0.82,4.2,1.53,6.15,6.23,4.72
199502,3,5.07,5.5,4.48,6.75,1.51,2.69,2.24,0.82,4.86
199503,2.73,1.44,3.5,5.27,4.52,0.28,3.5,2.69,-1.75,1.98
199504,1.84,1.41,2.98,2.34,8.29,1.59,-1.67,3.07,2.38,1.61
199505,4.72,4.84,3.18,4.08,3.08,0.63,2.7,1.63,6.01,4.47
199506,1.69,0.83,2.09,-3.09,9.79,3.86,4.92,4.46,-0.46,2.15
199507,1.25,2.65,3.52,2.3,7.91,5.14,3.54,5.31,-0.38,4.87
199508,0.68,0.72,-0.18,-1.61,-0.08,4.33,-2.78,1.04,0.98,3.72
199509,6.69,-0.52,2.25,1.31,1.28,5.63,2.75,7.46,6.24,4.57
199510,0.36,-4.78,-2.69,-0.24,1.45,-0.12,-5.5,1.15,1.48,-2.05
199511,4.51,5.45,6.49,4.76,-0.68,2.8,6.16,4.95,1.56,6.17
199512,1.7,3.15,1.53,5.79,-4.2,3.94,-0.81,5.93,5.06,1.13
199601,2.67,3.49,3.37,-0.36,1.95,2.33,-0.37,5.95,1.91,3.52
199602,3.12,2.02,0.89,1.05,6.33,-2.2,4.33,-1.07,-2.58,2.23
199603,-0.94,4.28,3.48,4.98,-3.42,-1.87,5.96,0.24,-0.47,1.7
199604,0.1,3.54,1.64,3.44,10.01,2.7,4.22,-0.6,-2.59,0.19
199605,6.56,2.24,2.35,0.48,3.85,0.06,4.39,3.93,1.35,1.58
199606,3.24,-4.93,-0.46,0.92,-4.92,0.43,-1.62,-0.19,5.21,-0.25
199607,-4.1,-4.18,-4,-4.67,-7.52,-8.54,-7.53,-6.06,-5.82,-4.32
199608,-0.75,3.16,3.24,2.97,4.42,-0.92,5.83,4.19,2.89,3.91
199609,3.68,2.39,6.14,4,10.58,1.52,3.53,7.34,0.67,5.07
199610,1.78,0.13,1.61,5.84,-1.25,-0.73,-2.23,-0.68,3.61,3.96
199611,5.13,6.01,6.09,5.53,12.02,5.65,3.12,6.66,2.61,7.53
199612,0.51,-3.19,-0.42,0.8,-2.53,2.63,-3.46,-2.66,0.14,-1.8
199701,5.58,3.16,4.25,4.32,9.38,2.34,0.17,9.55,0.9,6.04
199702,4.09,0.35,0.81,-5.69,-7.44,2.28,3.08,0.94,-0.57,2.6
199703,-5.12,-3.94,-3.73,5.21,-5.55,-7.6,-1.29,-7.4,-2.76,-5.89
199704,5.19,2.31,5.34,0.05,8.15,2.54,2.21,6.16,-1.39,5.23
199705,5.89,6.67,7.81,7.33,10.14,6.64,6.04,6.91,3.77,6.25
199706,3.53,3.9,5.21,1.31,1.34,3.78,5.02,8.89,3.06,5.37
199707,3.35,7.46,7.15,7.4,15.96,2.75,7.78,2.06,2.81,9.23
199708,-6.25,1.37,-5.55,0.24,-1.3,-2.28,-2.57,-6.14,-1.16,-4.79
199709,5.56,5.34,3.31,6.3,3.47,9.68,5.19,6.61,4.65,7.91
199710,-3.14,-3.3,-5.88,-2.01,-8.42,3.33,-2.2,0.26,0.94,-2.63
199711,6.45,-1.63,4.22,-3.55,1.46,10.26,5.35,2.86,7.14,3.02
199712,3.78,4.1,-0.25,-1.51,-4.18,4.56,-0.24,3.55,7.97,5.34
199801,-2.89,0.55,0.72,-5.73,5.25,4.84,0.91,5.73,-4.37,-2.12
199802,5.14,12.28,7.12,6.83,10.42,2.62,10.38,5.45,2.65,8.19
199803,5.72,6.24,4.88,4.8,1.33,9.81,6.55,3.61,6.77,5.79
199804,-3.1,0.99,1.25,3.8,5.08,-3.03,-0.38,1.92,-2.51,1.82
199805,1.08,7.2,-2.47,-4.2,-6.95,-1.65,2.14,-2.47,-0.88,-3.01
199806,3.8,1.8,-0.57,-1.36,8.73,3.21,4.81,6.18,2.84,3.13
199807,-4.07,-1.32,-5.77,-6.79,0.47,3.83,-3.1,-0.22,-5.34,-1.71
199808,-12.99,-19.17,-14.29,-10.41,-17.6,-11.74,-14.24,-12.26,2.25,-21.36
199809,1.3,1.55,0.57,13.01,15.2,10.02,1.48,12,7.98,2.68
199810,10.8,11.71,11.19,1.28,6.35,6.82,10.56,3.85,-1.76,8.98
199811,6.33,4.84,3.59,0.45,11.62,3.67,9.55,6.18,1.35,6.2
199812,0.51,4.26,2.33,-1.16,15.25,14.32,8.97,5.02,2.83,3.6
199901,-3.41,5.43,0.56,-5.51,15.09,8.79,2.36,0.24,-6.26,1.11
199902,-3.78,-4.31,-1.95,-3.17,-11.46,-2.92,-1.5,0.23,-3.78,-0.01
199903,-1.96,-0.84,4.75,15.42,8.51,-0.66,2.79,2.55,-1.69,2.41
199904,3.76,10.33,9.27,15.91,2.36,8.33,0.51,-5.54,7.18,6.77
199905,1.41,-5.54,-3.17,-3.13,-0.67,1.03,-2.88,-2.05,6.72,-3.52
199906,0.33,0.59,4.56,-1.48,11.72,5.85,7.92,4.49,-4.29,3.24
199907,-2.48,-5.97,-1.1,1.65,-1.8,-1.61,-5.02,-4.44,-0.61,-6.06
199908,-4.63,1.12,-0.36,1.86,5.45,-7.57,-5.97,3.72,0.62,-5.12
199909,-6.78,-7.76,-2.82,-3.88,-0.21,4.45,1.45,-7.09,-4.31,-4.39
199910,6.46,4.44,4.37,-1.58,3.25,9.53,3.34,10.78,2.17,11.42
199911,-1.23,-1.93,-1.04,3.78,12.87,4.29,4.18,1.5,-7.45,-2.25
199912,-2.5,2.88,9.79,0.68,20.76,4.18,6.46,-5.64,-2.34,1.43
200001,-4.77,-0.87,-7.99,0.9,-4.71,-4.04,-11.23,7.56,5.75,-4.64
200002,-6.19,-7.95,-4.24,-5.44,18.18,-3.59,-3.86,-2.88,-7.26,-6.98
200003,7.74,10.51,8.36,12.26,3.95,7.57,13.28,0.28,5.77,14.12
200004,-1.82,9.27,0.96,-1.98,-10.69,-7.9,-4.27,5.25,7.6,-3.41
200005,7.22,-13.22,-1.41,9.44,-10.84,-10.41,-2.7,3.94,3.9,3.46
200006,2.39,-9.48,-1.14,-5.17,13.03,4.18,-2.32,11.52,-4.76,-2.81
200007,0.79,4.61,-0.63,-2.61,-5.18,-7.41,-1.37,-6.16,4.43,5.55
200008,-1.81,4.57,6.96,8.91,12.56,-0.96,-2.45,3.58,11.72,9.08
200009,3.46,-4.1,-6.06,4.37,-14.99,-4.07,2.7,3.72,9.63,0.36
200010,7.63,1.88,4.59,-3.05,-7.28,-0.42,-1.51,2.6,-2.24,-1.07
200011,2.78,-11.21,-3.63,-2.95,-23.36,-15.51,-1.37,0.79,3.1,-5.95
200012,5.46,1.07,7.14,7.75,-7.95,-4.38,5.62,3.53,6.58,7.18
200101,-1.92,13.2,-0.12,-3.39,16.53,14.39,6.63,-8.94,-10.77,0.05
200102,0.18,-1.25,-4.29,0.12,-25.96,-9.89,-5.35,-0.5,6.24,-4.38
200103,-4.65,-3.06,-7.31,-0.31,-13.59,-5.69,-2.87,-8.44,1.64,-4.11
200104,0.93,8.44,8.48,10.32,17.99,2.51,5.6,3.99,5.46,5.78
200105,3.35,-2.32,2.89,0.09,-3.33,-1.28,1.6,3.03,0.01,3.75
200106,-1.61,3.48,-4.52,-7.71,1.48,-3,-2.49,-2.85,-6.22,0.03
200107,-0.19,3.28,0.5,-2.55,-7.58,-0.67,4.59,2.3,-3.66,-2.27
200108,2.51,-11.36,-1.91,-3.59,-12.65,-9.24,-6.98,-3.11,0.42,-5.33
200109,-2.57,-16.9,-12.76,-5.65,-18.94,-2.45,-9.6,-0.59,-6.39,-8.3
200110,1.08,0.9,3.87,4.78,15.68,-9.39,1.64,1.18,1.41,-0.58
200111,2.08,15.5,8.35,-4.11,15.92,6.09,10.14,5.04,-1.63,7.92
200112,2.02,-0.91,2.67,6.16,-0.59,2.74,4.51,-2.88,3.85,3.3
200201,1.92,2.94,1.65,-2.99,-0.56,-7.14,2.76,-2.36,-4.07,-2.92
200202,4.36,3.05,4.3,5.19,-13.2,-2.39,-0.09,-0.51,-0.25,-0.52
200203,3.74,6.92,4.96,7.81,6.43,0.31,2.03,0.46,10.04,5.43
200204,2.66,1.74,-1.48,-4.4,-11.76,-12.71,-1.38,-7.59,-0.56,-3.74
200205,1.44,-0.21,-0.31,-0.59,-3.78,3.01,-1.26,-2.23,-6.47,-0.39
200206,-5.79,-8.11,-3.11,-0.44,-12.21,-14.4,-5.08,-9.6,-5.36,-5.38
200207,-6.72,-12.26,-8.51,-11.95,-9.63,-11.67,-11.31,-2.55,-12.3,-6.41
200208,2.49,0.38,-1.27,0.54,-0.87,0.33,1.9,0.66,3.38,1.14
200209,-7.68,-11.08,-8.26,-8.13,-16.74,-9.3,-9.4,-5.86,-10.86,-10.7
200210,5.22,-3.3,3.89,3.28,19.41,21.36,5.7,5.69,-0.68,6.38
200211,-1.27,12.07,6.23,3.17,16.14,11.76,1.93,3.7,1.62,4.61
200212,0,-7.26,-3.76,0.76,-13.03,-9.07,-6.94,-4.06,3.85,-4.98
200301,-4.78,-3.23,-4.07,-2.41,-1.47,-3.53,-4.77,-0.6,-3.17,-2.32
200302,-3.11,-5.05,-2.16,1.98,1.27,-6.44,-1.21,-1.94,-3.92,-2.62
200303,-2.67,-2.76,1.31,1.18,-0.97,-0.6,4.61,3.79,4.35,0.75
200304,4.7,15.18,6.39,-0.57,9.27,11.15,8.9,4.32,7.44,11.78
200305,9.22,2.85,4.63,8.91,9.77,6.16,3.41,3.91,10.11,5.3
200306,1.57,2.68,0.54,-1.21,0.25,1.97,3.46,4.11,0.66,0.94
200307,-2.33,6.6,4.95,-2.7,5.67,-1.65,3.32,0.62,-5.25,3.53
200308,0.66,7.86,4.19,6.26,6.05,1.34,6.76,-2.53,1.91,0.61
200309,1.11,-4.07,-3.75,-2.31,-0.89,-5.65,-4.53,0.24,3.9,0.35
200310,5.59,6.97,8.86,1.54,8.23,6.66,9.03,0.72,1.58,6.42
200311,3.78,3.09,2.08,0.61,1.89,-0.63,0.58,1.63,0.94,1.11
200312,3.31,12.3,6.75,13.58,2.1,7.39,-2.13,5.68,5.81,4.48
200401,0.12,-1.12,-0.62,0.45,4.5,1.42,0.45,3.04,1.92,2.72
200402,4.28,-0.11,1.99,4.69,-2.93,-0.79,6.08,0.91,2.06,2.02
200403,-0.3,-1.15,-0.22,-0.16,-2.54,-2.44,0.3,-3.91,1.17,-0.61
200404,1.51,2.38,-0.19,2.48,-4.9,-0.51,-2.68,3.57,-3.51,-3.84
200405,-2.19,-1.61,1.59,0.42,4.83,-2.95,0.27,-0.38,1.28,2.08
200406,1.87,5.08,5.35,5.49,2.63,0.56,0.07,-0.38,2.01,1.51
200407,-5.83,-4.69,-4.04,3.28,-8.49,-1.27,-3.98,-5.87,1.05,-2.4
200408,0.83,-2.3,1.27,-1.24,-4.43,1.28,-1.15,1.66,3.67,1.93
200409,-1.76,2.45,1.91,8.88,3.29,1.34,2.58,-1.41,1.42,1.24
200410,2.87,-2.65,-1.37,0.66,5.03,3.36,3.08,-2.41,4.23,1.22
200411,4.52,7.18,7.17,6.56,5.84,3.42,3.61,0.66,4.92,4.96
200412,4.8,4.85,2.61,-2.09,3.19,4.34,3.43,5.66,2.41,4.42
200501,-0.08,-6.71,-1.78,3.02,-6.12,-3.93,-1.08,-4.05,1.76,-2.44
200502,0.6,-0.28,4.14,19.03,-0.18,-0.15,0.86,2.48,2.32,0.22
200503,-0.88,-7.56,-1.48,-3.27,-2.4,-0.11,0,-0.41,0.63,-2.4
200504,-1.02,-11.06,-4.75,-5.79,-4.54,-1.94,-5.34,3.95,2.1,-1.64
200505,2.27,8.65,2.89,2.17,7.75,1.42,6.39,1.45,1.7,3.38
200506,-1.61,1.77,-1.2,5.85,-1.57,0.05,2.47,-0.57,5.57,1.4
200507,2.41,5.21,5.8,6.14,6.01,2.91,5.84,3.73,2.99,2.44
200508,0.1,-2.73,-1.4,5.71,-0.58,-1.14,-5.57,-0.33,1.16,-1.7
200509,0.25,-4.8,0.75,7.05,0.75,-1.58,-1.75,-1.95,4.39,1.22
200510,-1.81,-4.17,-2.43,-10.01,-1.64,-3.08,1.62,-3.25,-6.85,1.25
200511,1.01,2.28,5.31,1.38,6.54,2.42,4,1.57,-0.19,4.94
200512,-0.16,-0.66,1.44,0.72,-1.81,-1.59,-0.61,2.4,1.23,0.18
200601,0.18,6.15,5.04,12.69,3.77,3.58,1.99,2.16,3.05,1.54
200602,1.15,-0.31,1.19,-8.22,-1.25,3.3,1.44,1.07,0.23,1.09
200603,1.23,2.77,2.96,4.2,2.97,1.87,2.41,-0.96,-3.64,1.86
200604,1.03,0.53,4.01,4.64,-1.08,1.56,-1.66,-1.94,1.85,2.24
200605,1.3,0.5,-3.31,-3.38,-6.79,-0.12,-1.93,-2.18,1.52,-3.23
200606,-0.08,1.92,-0.51,2.58,-1.18,2.88,0.27,-0.14,2.41,-0.32
200607,3.49,-3.16,-3.78,4.7,-3.92,2.26,-4.31,4.27,4.87,-1.11
200608,3.09,2.06,2.08,-3.56,7.19,2.24,2.05,2.29,2.35,1.63
200609,-0.31,4.27,1.91,-3.53,3.67,3.42,5.76,1.67,-2.15,3.36
200610,2.59,5.13,4.36,5.02,4.28,5.45,3.91,1.65,5.36,2.89
200611,1.44,1.86,3.58,8.56,3.02,0.69,-1.31,0.05,3.03,1.74
200612,1.98,-0.79,0.51,-2.07,-0.99,4.36,1.45,0.08,0.7,3.22
200701,1.35,2.71,3.23,-1.31,2.18,2.88,3.55,3.5,0.38,1.09
200702,-1.79,-0.43,0.8,-2.17,-2.49,-2.5,-0.63,-2.8,4.25,-2.31
200703,2.47,-1.07,1.58,5.99,0.91,2.32,0.73,-0.22,4.34,-0.27
200704,3.74,6.26,4.4,5.39,4.91,2.11,2.23,6.84,3.92,3.39
200705,2.81,3.42,4.84,7.19,3.9,6.68,2.51,1.11,1.2,3.35
200706,-0.86,2.12,-0.6,1.04,0.61,-1.73,-1.95,-3.4,-4.78,-2.68
200707,-4.26,-5.9,-0.1,-1.02,-1.26,-3.15,-5.36,-4.04,-3.82,-5.46
200708,1.83,-1.78,0.74,0.3,2.69,-0.8,1.4,2.3,1.93,0.89
200709,3.76,1.6,5.4,7.8,4.19,1.97,-0.72,3.58,3.57,2.68
200710,2.2,1.04,0.96,2.74,6.84,-2.29,1.07,1.44,6.69,-0.12
200711,1.04,-8.72,-2.64,-4,-7.42,-6.75,-3.77,0.02,-0.69,-6.31
200712,-1.11,-1.89,0.89,7.6,1.42,-0.2,-2.72,-4.07,0.89,-3.61
200801,-4.95,-5.94,-7.44,-9.34,-12.31,-7.66,-0.42,-4.55,-6.92,-1.97
200802,-0.22,-5.91,0.76,7.16,-3.7,-3.81,-4.85,-0.9,-3.01,-8.32
200803,1.18,-4.14,0.04,-2.8,0.73,-0.21,1.88,-1.79,0.88,-1.73
200804,-1.38,6.63,4.95,10.71,6.83,4.42,5.18,0.42,6.33,3.64
200805,3.67,1.75,3.31,4.37,5.42,4.8,1.05,1.63,3.57,-2.43
200806,-7.37,-19.3,-9.31,2.91,-8.98,-11.05,-8.1,-3.01,-0.58,-14.83
200807,1.97,-0.21,-0.22,-15.69,-0.82,-3.01,1.15,6.77,-7.23,4.33
200808,1.83,2.47,1.51,-0.17,2.36,4.09,5.38,1.79,-0.5,0.3
200809,-2.98,-9.19,-13.34,-12.46,-12.54,-12.7,-5.78,-5.94,-12.11,-6.78
200810,-12.25,-32.63,-20.75,-17.23,-18.23,-16.36,-15.12,-10.95,-11.07,-20.04
200811,-6.73,-11.44,-7.81,-0.45,-11.23,-1.82,-7.68,-7.35,1.08,-12.1
200812,0.4,1.3,1.41,-3.13,2.31,3.44,4.91,6.74,-2.08,1.38
200901,-3.75,-12.48,-9.22,-3.11,-3.15,-10.35,-7.62,-2.2,-0.81,-18.34
200902,-7.69,-12.82,-13.5,-11.95,-4.94,-7.15,-3.1,-9.92,-12.65,-14.02
200903,6.39,12.83,7.58,3.76,11.28,7.64,9.94,7.05,2.79,12.89
200904,4.82,42.63,17.51,5.2,12.38,10.43,9.55,-0.95,2.13,16.36
200905,6.72,-2.82,5.39,10.77,3.17,1.52,-0.9,6.25,4.66,7.74
200906,0.36,3.71,-1.71,-4.84,4.35,1.63,-0.32,3.54,4.66,-1.92
200907,7.41,18.43,11.41,5.31,8.26,5.42,6.75,5.52,4.35,8.91
200908,0.84,2.65,2.94,0.73,2.37,1.03,3.69,2.2,0.21,8.06
200909,4.36,3.08,6.45,5.19,5.24,6.34,2.38,2.4,2.33,3.21
200910,-0.78,-0.25,-2.71,2.23,-1.4,-3.54,0.06,-3.68,-2.74,-5.23
200911,3.86,9.46,7.6,3.17,4.97,6.49,5.04,8.23,4.51,5.76
200912,2.67,5.07,2.8,-0.55,5.89,6.25,1.97,2.45,5.86,1.23
201001,-2.28,-0.87,-3.27,-4.73,-7.84,-6.84,-1.85,0,-4.5,-1.65
201002,2.8,7.3,5.18,2.41,4.76,2.92,4.29,0.37,-0.43,3.38
201003,6.02,9.28,6.52,3.17,6.67,7.88,6.24,3.61,3.1,8.43
201004,-1.01,7.2,3.24,3.6,2.16,3.82,2.56,-2.22,2.86,2.15
201005,-5.66,-8.7,-8.31,-10.7,-7.67,-5.91,-5.34,-8.01,-6.31,-8.82
201006,-1.98,-10.31,-5.75,-6.41,-6.16,-4.33,-9.03,-1.63,-0.72,-7.65
201007,7.39,15.02,9.59,7.74,7.51,9.74,4.62,2.15,6.79,7.48
201008,-1.28,-9.48,-5.51,-3.38,-6.45,-2.23,-3.93,-1.66,0.41,-7.55
201009,6.21,13.63,10.11,9.64,12.43,7.87,12.08,9,3.64,8.82
201010,4.32,8.4,5.13,4.38,6.37,4.8,2.43,2,1.86,2.6
201011,0.13,7.28,1.47,5.59,-0.83,-1.87,4.18,-3.33,-1.31,0.52
201012,4.38,8.54,7.01,9.37,6.03,6.72,3.26,5.41,3.22,9.73
201101,-2.27,0.48,2.83,6.93,3.94,0.04,-0.88,-0.71,2.23,1.97
201102,4.88,-1.4,3.43,7.65,2.28,7.58,2.28,3.33,2.43,2.66
201103,2.78,1.73,1.84,1.91,-1.56,1.78,1.1,2.29,0.91,-0.87
201104,4.48,2.22,2.99,1.3,3.12,3.42,4.53,6.38,3.99,1.11
201105,1.8,-3.54,-2.15,-4.56,-1.7,0.78,0.83,1.96,1.3,-2.38
201106,-0.93,-1.23,-0.59,-2.49,-2.38,-1.23,-0.89,-1.84,-0.34,-2.06
201107,-0.4,-8.91,-4.7,0.56,-0.31,-5.03,-0.68,-3.65,-0.35,-3.76
